Date,Year,Magnitude,Depth,City,Season,Region
14/03/2005,2005,5.9,9.95,Bingöl,İlkbahar,Doğu Anadolu
12/03/2005,2005,5.6,7.2,Bingöl,İlkbahar,Doğu Anadolu
30/01/2005,2005,5.4,28.29,Antalya,Kış,Akdeniz
25/01/2005,2005,5.4,23.0,Hakkari,Kış,Doğu Anadolu
24/01/2005,2005,5.2,12.07,Antalya,Kış,Akdeniz
21/12/2004,2004,5.1,12.5,Muğla,Kış,Ege
07/10/2004,2004,5.0,113.85,Muğla,Sonbahar,Ege
11/08/2004,2004,5.3,4.62,Elazığ,Yaz,Doğu Anadolu
04/08/2004,2004,5.3,15.0,Muğla,Yaz,Ege
04/08/2004,2004,5.1,18.75,Muğla,Yaz,Ege
02/07/2004,2004,5.1,9.12,Ağrı,Yaz,Doğu Anadolu
15/06/2004,2004,5.2,14.5,Çanakkale,Yaz,Marmara
28/03/2004,2004,5.3,2.15,Erzurum,İlkbahar,Doğu Anadolu
25/03/2004,2004,5.1,2.6,Erzurum,İlkbahar,Doğu Anadolu
03/03/2004,2004,5.0,5.2,Bingöl,İlkbahar,Doğu Anadolu
26/02/2004,2004,5.1,5.1,Adıyaman,Kış,Güneydoğu Anadolu
26/07/2003,2003,5.0,10.7,Denizli,Yaz,Ege
26/07/2003,2003,5.5,10.9,Denizli,Yaz,Ege
26/07/2003,2003,5.1,10.6,Denizli,Yaz,Ege
23/07/2003,2003,5.3,11.0,Denizli,Yaz,Ege
13/07/2003,2003,5.7,11.26,Malatya,Yaz,Doğu Anadolu
06/07/2003,2003,5.2,11.6,Edirne,Yaz,Marmara
09/06/2003,2003,5.0,13.9,Balıkesir,Yaz,Marmara
01/05/2003,2003,6.1,6.0,Bingöl,İlkbahar,Doğu Anadolu
10/04/2003,2003,5.6,18.7,İzmir,İlkbahar,Ege
02/04/2003,2003,5.2,10.6,Adıyaman,İlkbahar,Güneydoğu Anadolu
27/01/2003,2003,6.4,15.9,Tunceli,Kış,Doğu Anadolu
